date,Federal Fund Rate Target
1964-01-04,3.47
1964-01-05,3.5
1964-01-06,3.5
1964-01-07,3.42
1964-01-08,3.5
1964-01-09,3.45
1964-01-10,3.36
1964-01-11,3.52
1964-01-12,3.85
1965-01-01,3.9
1965-01-02,3.98
1965-01-03,4.05
1965-01-04,4.09
1965-01-05,4.1
1965-01-06,4.05
1965-01-07,4.09
1965-01-08,4.12
1965-01-09,4.02
1965-01-10,4.08
1965-01-11,4.1
1965-01-12,4.32
1966-01-01,4.42
1966-01-02,4.6
1966-01-03,4.66
1966-01-04,4.67
1966-01-05,4.9
1966-01-06,5.17
1966-01-07,5.3
1966-01-08,5.53
1966-01-09,5.4
1966-01-10,5.53
1966-01-11,5.76
1966-01-12,5.4
1967-01-01,4.94
1967-01-02,5.0
1967-01-03,4.53
1967-01-04,4.05
1967-01-05,3.94
1967-01-06,3.98
1967-01-07,3.79
1967-01-08,3.9
1967-01-09,3.99
1967-01-10,3.88
1967-01-11,4.13
1967-01-12,4.51
1968-01-01,4.61
1968-01-02,4.71
1968-01-03,5.05
1968-01-04,5.76
1968-01-05,6.12
1968-01-06,6.07
1968-01-07,6.03
1968-01-08,6.03
1968-01-09,5.78
1968-01-10,5.91
1968-01-11,5.82
1968-01-12,6.02
1969-01-01,6.3
1969-01-02,6.61
1969-01-03,6.79
1969-01-04,7.41
1969-01-05,8.67
1969-01-06,8.9
1969-01-07,8.61
1969-01-08,9.19
1969-01-09,9.15
1969-01-10,9.0
1969-01-11,8.85
1969-01-12,8.97
1970-01-01,8.98
1970-01-02,8.98
1970-01-03,7.76
1970-01-04,8.1
1970-01-05,7.95
1970-01-06,7.61
1970-01-07,7.21
1970-01-08,6.62
1970-01-09,6.29
1970-01-10,6.2
1970-01-11,5.6
1970-01-12,4.9
1971-01-01,4.14
1971-01-02,3.72
1971-01-03,3.71
1971-01-04,4.16
1971-01-05,4.63
1971-01-06,4.91
1971-01-07,5.31
1971-01-08,5.57
1971-01-09,5.55
1971-01-10,5.2
1971-01-11,4.91
1971-01-12,4.14
1972-01-01,3.51
1972-01-02,3.3
1972-01-03,3.83
1972-01-04,4.17
1972-01-05,4.27
1972-01-06,4.46
1972-01-07,4.55
1972-01-08,4.81
1972-01-09,4.87
1972-01-10,5.05
1972-01-11,5.06
1972-01-12,5.33
1973-01-01,5.94
1973-01-02,6.58
1973-01-03,7.09
1973-01-04,7.12
1973-01-05,7.84
1973-01-06,8.49
1973-01-07,10.4
1973-01-08,10.5
1973-01-09,10.78
1973-01-10,10.01
1973-01-11,10.03
1973-01-12,9.95
1974-01-01,9.65
1974-01-02,8.97
1974-01-03,9.35
1974-01-04,10.51
1974-01-05,11.31
1974-01-06,11.93
1974-01-07,12.92
1974-01-08,12.01
1974-01-09,11.34
1974-01-10,10.06
1974-01-11,9.45
1974-01-12,8.53
1975-01-01,7.13
1975-01-02,6.24
1975-01-03,5.54
1975-01-04,5.49
1975-01-05,5.22
1975-01-06,5.55
1975-01-07,6.1
1975-01-08,6.14
1975-01-09,6.24
1975-01-10,5.82
1975-01-11,5.22
1975-01-12,5.2
1976-01-01,4.87
1976-01-02,4.77
1976-01-03,4.84
1976-01-04,4.82
1976-01-05,5.29
1976-01-06,5.48
1976-01-07,5.31
1976-01-08,5.29
1976-01-09,5.25
1976-01-10,5.02
1976-01-11,4.95
1976-01-12,4.65
1977-01-01,4.61
1977-01-02,4.68
1977-01-03,4.69
1977-01-04,4.73
1977-01-05,5.35
1977-01-06,5.39
1977-01-07,5.42
1977-01-08,5.9
1977-01-09,6.14
1977-01-10,6.47
1977-01-11,6.51
1977-01-12,6.56
1978-01-01,6.7
1978-01-02,6.78
1978-01-03,6.79
1978-01-04,6.89
1978-01-05,7.36
1978-01-06,7.6
1978-01-07,7.81
1978-01-08,8.04
1978-01-09,8.45
1978-01-10,8.96
1978-01-11,9.76
1978-01-12,10.03
1979-01-01,10.07
1979-01-02,10.06
1979-01-03,10.09
1979-01-04,10.01
1979-01-05,10.24
1979-01-06,10.29
1979-01-07,10.47
1979-01-08,10.94
1979-01-09,11.43
1979-01-10,13.77
1979-01-11,13.18
1979-01-12,13.78
1980-01-01,13.82
1980-01-02,14.13
1980-01-03,17.19
1980-01-04,17.61
1980-01-05,10.98
1980-01-06,9.47
1980-01-07,9.03
1980-01-08,9.61
1980-01-09,10.87
1980-01-10,12.81
1980-01-11,15.85
1980-01-12,18.9
1981-01-01,19.08
1981-01-02,15.93
1981-01-03,14.7
1981-01-04,15.72
1981-01-05,18.52
1981-01-06,19.1
1981-01-07,19.04
1981-01-08,17.82
1981-01-09,15.87
1981-01-10,15.08
1981-01-11,13.31
1981-01-12,12.37
1982-01-01,13.22
1982-01-02,14.78
1982-01-03,14.68
1982-01-04,14.94
1982-01-05,14.45
1982-01-06,14.15
1982-01-07,12.59
1982-01-08,10.12
1982-01-09,10.31
1982-01-10,9.71
1982-01-11,9.2
1982-01-12,8.95
1983-01-01,8.68
1983-01-02,8.51
1983-01-03,8.77
1983-01-04,8.8
1983-01-05,8.63
1983-01-06,8.98
1983-01-07,9.37
1983-01-08,9.56
1983-01-09,9.45
1983-01-10,9.48
1983-01-11,9.34
1983-01-12,9.47
1984-01-01,9.56
1984-01-02,9.59
1984-01-03,9.91
1984-01-04,10.29
1984-01-05,10.32
1984-01-06,11.06
1984-01-07,11.23
1984-01-08,11.64
1984-01-09,11.3
1984-01-10,9.99
1984-01-11,9.43
1984-01-12,8.38
1985-01-01,8.35
1985-01-02,8.5
1985-01-03,8.58
1985-01-04,8.27
1985-01-05,7.97
1985-01-06,7.53
1985-01-07,7.88
1985-01-08,7.9
1985-01-09,7.92
1985-01-10,7.99
1985-01-11,8.05
1985-01-12,8.27
1986-01-01,8.14
1986-01-02,7.86
1986-01-03,7.48
1986-01-04,6.99
1986-01-05,6.85
1986-01-06,6.92
1986-01-07,6.56
1986-01-08,6.17
1986-01-09,5.89
1986-01-10,5.85
1986-01-11,6.04
1986-01-12,6.91
1987-01-01,6.43
1987-01-02,6.1
1987-01-03,6.13
1987-01-04,6.37
1987-01-05,6.85
1987-01-06,6.73
1987-01-07,6.58
1987-01-08,6.73
1987-01-09,7.22
1987-01-10,7.29
1987-01-11,6.69
1987-01-12,6.77
1988-01-01,6.83
1988-01-02,6.58
1988-01-03,6.58
1988-01-04,6.87
1988-01-05,7.09
1988-01-06,7.51
1988-01-07,7.75
1988-01-08,8.01
1988-01-09,8.19
1988-01-10,8.3
1988-01-11,8.35
1988-01-12,8.76
1989-01-01,9.12
1989-01-02,9.36
1989-01-03,9.85
1989-01-04,9.84
1989-01-05,9.81
1989-01-06,9.53
1989-01-07,9.24
1989-01-08,8.99
1989-01-09,9.02
1989-01-10,8.84
1989-01-11,8.55
1989-01-12,8.45
1990-01-01,8.23
1990-01-02,8.24
1990-01-03,8.28
1990-01-04,8.26
1990-01-05,8.18
1990-01-06,8.29
1990-01-07,8.15
1990-01-08,8.13
1990-01-09,8.2
1990-01-10,8.11
1990-01-11,7.81
1990-01-12,7.31
1991-01-01,6.91
1991-01-02,6.25
1991-01-03,6.12
1991-01-04,5.91
1991-01-05,5.78
1991-01-06,5.9
1991-01-07,5.82
1991-01-08,5.66
1991-01-09,5.45
1991-01-10,5.21
1991-01-11,4.81
1991-01-12,4.43
1992-01-01,4.03
1992-01-02,4.06
1992-01-03,3.98
1992-01-04,3.73
1992-01-05,3.82
1992-01-06,3.76
1992-01-07,3.25
1992-01-08,3.3
1992-01-09,3.22
1992-01-10,3.1
1992-01-11,3.09
1992-01-12,2.92
1993-01-01,3.02
1993-01-02,3.03
1993-01-03,3.07
1993-01-04,2.96
1993-01-05,3.0
1993-01-06,3.04
1993-01-07,3.06
1993-01-08,3.03
1993-01-09,3.09
1993-01-10,2.99
1993-01-11,3.02
1993-01-12,2.96
1994-01-01,3.05
1994-01-02,3.25
1994-01-03,3.34
1994-01-04,3.56
1994-01-05,4.01
1994-01-06,4.25
1994-01-07,4.26
1994-01-08,4.47
1994-01-09,4.73
1994-01-10,4.76
1994-01-11,5.29
1994-01-12,5.45
1995-01-01,5.53
1995-01-02,5.92
1995-01-03,5.98
1995-01-04,6.05
1995-01-05,6.01
1995-01-06,6.0
1995-01-07,5.85
1995-01-08,5.74
1995-01-09,5.8
1995-01-10,5.76
1995-01-11,5.8
1995-01-12,5.6
1996-01-01,5.56
1996-01-02,5.22
1996-01-03,5.31
1996-01-04,5.22
1996-01-05,5.24
1996-01-06,5.27
1996-01-07,5.4
1996-01-08,5.22
1996-01-09,5.3
1996-01-10,5.24
1996-01-11,5.31
1996-01-12,5.29
1997-01-01,5.25
1997-01-02,5.19
1997-01-03,5.39
1997-01-04,5.51
1997-01-05,5.5
1997-01-06,5.56
1997-01-07,5.52
1997-01-08,5.54
1997-01-09,5.54
1997-01-10,5.5
1997-01-11,5.52
1997-01-12,5.5
1998-01-01,5.56
1998-01-02,5.51
1998-01-03,5.49
1998-01-04,5.45
1998-01-05,5.49
1998-01-06,5.56
1998-01-07,5.54
1998-01-08,5.55
1998-01-09,5.51
1998-01-10,5.07
1998-01-11,4.83
1998-01-12,4.68
1999-01-01,4.63
1999-01-02,4.76
1999-01-03,4.81
1999-01-04,4.74
1999-01-05,4.74
1999-01-06,4.76
1999-01-07,4.99
1999-01-08,5.07
1999-01-09,5.22
1999-01-10,5.2
1999-01-11,5.42
1999-01-12,5.3
2000-01-01,5.45
2000-01-02,5.73
2000-01-03,5.85
2000-01-04,6.02
2000-01-05,6.27
2000-01-06,6.53
2000-01-07,6.54
2000-01-08,6.5
2000-01-09,6.52
2000-01-10,6.51
2000-01-11,6.51
2000-01-12,6.4
2001-01-01,5.98
2001-01-02,5.49
2001-01-03,5.31
2001-01-04,4.8
2001-01-05,4.21
2001-01-06,3.97
2001-01-07,3.77
2001-01-08,3.65
2001-01-09,3.07
2001-01-10,2.49
2001-01-11,2.09
2001-01-12,1.82
2002-01-01,1.73
2002-01-02,1.74
2002-01-03,1.73
2002-01-04,1.75
2002-01-05,1.75
2002-01-06,1.75
2002-01-07,1.73
2002-01-08,1.74
2002-01-09,1.75
2002-01-10,1.75
2002-01-11,1.34
2002-01-12,1.24
2003-01-01,1.24
2003-01-02,1.26
2003-01-03,1.25
2003-01-04,1.26
2003-01-05,1.26
2003-01-06,1.22
2003-01-07,1.01
2003-01-08,1.03
2003-01-09,1.01
2003-01-10,1.01
2003-01-11,1.0
2003-01-12,0.98
2004-01-01,1.0
2004-01-02,1.01
2004-01-03,1.0
2004-01-04,1.0
2004-01-05,1.0
2004-01-06,1.03
2004-01-07,1.26
2004-01-08,1.43
2004-01-09,1.61
2004-01-10,1.76
2004-01-11,1.93
2004-01-12,2.16
2005-01-01,2.28
2005-01-02,2.5
2005-01-03,2.63
2005-01-04,2.79
2005-01-05,3.0
2005-01-06,3.04
2005-01-07,3.26
2005-01-08,3.5
2005-01-09,3.62
2005-01-10,3.78
2005-01-11,4.0
2005-01-12,4.16
2006-01-01,4.29
2006-01-02,4.49
2006-01-03,4.59
2006-01-04,4.79
2006-01-05,4.94
2006-01-06,4.99
2006-01-07,5.24
2006-01-08,5.25
2006-01-09,5.25
2006-01-10,5.25
2006-01-11,5.25
2006-01-12,5.24
2007-01-01,5.25
2007-01-02,5.26
2007-01-03,5.26
2007-01-04,5.25
2007-01-05,5.25
2007-01-06,5.25
2007-01-07,5.26
2007-01-08,5.02
2007-01-09,4.94
2007-01-10,4.76
2007-01-11,4.49
2007-01-12,4.24
2008-01-01,3.94
2008-01-02,2.98
2008-01-03,2.61
2008-01-04,2.28
2008-01-05,1.98
2008-01-06,2.0
2008-01-07,2.01
2008-01-08,2.0
2008-01-09,1.81
2008-01-10,0.97
2008-01-11,0.39
2008-01-12,0.16
2009-01-01,0.15
2009-01-02,0.22
2009-01-03,0.18
2009-01-04,0.15
2009-01-05,0.18
2009-01-06,0.21
2009-01-07,0.16
2009-01-08,0.16
2009-01-09,0.15
2009-01-10,0.12
2009-01-11,0.12
2009-01-12,0.12
2010-01-01,0.11
2010-01-02,0.13
2010-01-03,0.16
2010-01-04,0.2
2010-01-05,0.2
2010-01-06,0.18
2010-01-07,0.18
2010-01-08,0.19
2010-01-09,0.19
2010-01-10,0.19
2010-01-11,0.19
2010-01-12,0.18
2011-01-01,0.17
2011-01-02,0.16
2011-01-03,0.14
2011-01-04,0.1
2011-01-05,0.09
2011-01-06,0.09
2011-01-07,0.07
2011-01-08,0.1
2011-01-09,0.08
2011-01-10,0.07
2011-01-11,0.08
2011-01-12,0.07
2012-01-01,0.08
2012-01-02,0.1
2012-01-03,0.13
2012-01-04,0.14
2012-01-05,0.16
2012-01-06,0.16
2012-01-07,0.16
2012-01-08,0.13
2012-01-09,0.14
2012-01-10,0.16
2012-01-11,0.16
2012-01-12,0.16
2013-01-01,0.14
2013-01-02,0.15
2013-01-03,0.14
2013-01-04,0.15
2013-01-05,0.11
2013-01-06,0.09
2013-01-07,0.09
2013-01-08,0.08
2013-01-09,0.08
2013-01-10,0.09
2013-01-11,0.08
2013-01-12,0.09
2014-01-01,0.07
2014-01-02,0.07
2014-01-03,0.08
2014-01-04,0.09
2014-01-05,0.09
2014-01-06,0.1
2014-01-07,0.09
2014-01-08,0.09
2014-01-09,0.09
2014-01-10,0.09
2014-01-11,0.09
2014-01-12,0.12
2015-01-01,0.11
2015-01-02,0.11
2015-01-03,0.11
2015-01-04,0.12
2015-01-05,0.12
2015-01-06,0.13
2015-01-07,0.13
2015-01-08,0.14
2015-01-09,0.14
2015-01-10,0.12
2015-01-11,0.12
2015-01-12,0.24
2016-01-01,0.34
2016-01-02,0.38
2016-01-03,0.36
2016-01-04,0.37
2016-01-05,0.37
2016-01-06,0.38
2016-01-07,0.39
2016-01-08,0.4
2016-01-09,0.4
2016-01-10,0.4
2016-01-11,0.41
2016-01-12,0.54
2017-01-01,0.65
2017-01-02,0.66
2017-01-03,0.79
2017-01-04,0.9
2017-01-05,0.91
2017-01-06,1.04
2017-01-07,1.15
2017-01-08,1.16
2017-01-09,1.15
2017-01-10,1.15
2017-01-11,1.16
2017-01-12,1.3
2018-01-01,1.41
2018-01-02,1.42
2018-01-03,1.51
2018-01-04,1.69
2018-01-05,1.7
2018-01-06,1.82
2018-01-07,1.91
2018-01-08,1.91
2018-01-09,1.95
2018-01-10,2.19
2018-01-11,2.2
2018-01-12,2.27
2019-01-01,2.4
2019-01-02,2.4
2019-01-03,2.41
2019-01-04,2.42
2019-01-05,2.39
2019-01-06,2.38
2019-01-07,2.4
2019-01-08,2.13
2019-01-09,2.04
2019-01-10,1.83
2019-01-11,1.55
2019-01-12,1.55
2020-01-01,1.55
2020-01-02,1.58
2020-01-03,0.65
2020-01-04,0.05
2020-01-05,0.05
2020-01-06,0.08
2020-01-07,0.09
2020-01-08,0.1
2020-01-09,0.09
2020-01-10,0.09
2020-01-11,0.09
2020-01-12,0.09
2021-01-01,0.09
2021-01-02,0.08
2021-01-03,0.07
2021-01-04,0.07
2021-01-05,0.06
2021-01-06,0.08
2021-01-07,0.1
2021-01-08,0.09
2021-01-09,0.08
2021-01-10,0.08
2021-01-11,0.08
2021-01-12,0.08
2022-01-01,0.08
2022-01-02,0.08
2022-01-03,0.2
2022-01-04,0.33
2022-01-05,0.77
2022-01-06,1.21
2022-01-07,1.68
2022-01-08,2.33
2022-01-09,2.56
2022-01-10,3.08
2022-01-11,3.78
2022-01-12,4.1
2023-01-01,4.33
2023-01-02,4.57
2023-01-03,4.65
2023-01-04,4.83
2023-01-05,5.06
2023-01-06,5.08
2023-01-07,5.12
2023-01-08,5.33
2023-01-09,5.33
2023-01-10,5.33
2023-01-11,5.33
2023-01-12,5.33
2024-01-01,5.33
2024-01-02,5.33
2024-01-03,5.33
